player_name,nation,position,team_name,league,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists
Rodrigo Gomes,pt POR,"DF,FW",Wolves,eng Premier League,21.0,25,7,810,2,0,0,0,0,0.7,0.9
Toti Gomes,pt POR,DF,Wolves,eng Premier League,25.0,31,30,2614,0,1,0,7,0,0.7,0.9
Carlos Gómez,co COL,"MF,DF",Rennes,fr Ligue 1,21.0,17,2,381,3,0,0,1,0,1.3,0.2
Dani Gómez,es ESP,FW,Valencia,es La Liga,26.0,14,5,532,2,0,0,0,0,2.7,0.0
Diego Gómez,py PAR,MF,Brighton,eng Premier League,21.0,16,4,516,1,0,0,0,0,0.9,0.7
Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,27.0,9,6,519,0,0,0,1,0,0.3,0.1
Moi Gómez,es ESP,"MF,FW",Osasuna,es La Liga,30.0,26,6,796,0,0,0,1,0,0.5,0.8
Sergi Gómez,es ESP,DF,Espanyol,es La Liga,32.0,12,6,664,0,0,0,1,0,0.3,0.0
Sergio Gómez,es ESP,"MF,DF",Real Sociedad,es La Liga,23.0,37,31,2738,2,5,0,4,0,1.9,8.9
Unai Gómez,es ESP,"MF,FW",Athletic Club,es La Liga,21.0,32,14,1284,1,3,0,1,0,1.9,0.8
Tidiam Gomis,fr FRA,"MF,FW",RB Leipzig,de Bundesliga,17.0,8,1,152,0,1,0,2,0,0.3,0.9
Fabio González,es ESP,MF,Las Palmas,es La Liga,27.0,2,0,53,0,0,0,0,0,0.1,0.0
Nicolás González,es ESP,MF,Manchester City,eng Premier League,22.0,11,9,760,1,0,0,3,0,0.5,0.1
Nicolás González,ar ARG,"FW,MF",Juventus,it Serie A,26.0,26,23,1750,3,2,0,3,0,4.1,1.1
Peter González,do DOM,"MF,FW",Getafe,es La Liga,22.0,17,2,477,0,0,0,1,0,1.3,0.1
Urko González,es ESP,MF,Espanyol,es La Liga,23.0,17,16,1374,0,2,0,2,0,0.5,0.7
Urko González,es ESP,MF,Real Sociedad,es La Liga,23.0,1,1,45,0,0,0,1,0,0.0,0.0
Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,23.0,34,28,2434,6,5,1,2,0,8.0,5.0
Leon Goretzka,de GER,"MF,DF",Bayern Munich,de Bundesliga,29.0,26,13,1325,4,1,0,2,0,2.8,1.7
Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,33.0,16,16,1440,0,0,0,2,0,0.0,0.0
Andoni Gorosabel,es ESP,DF,Athletic Club,es La Liga,27.0,20,17,1485,0,2,0,5,0,0.3,1.8
Robin Gosens,de GER,DF,Fiorentina,it Serie A,30.0,31,28,2434,5,5,0,6,0,1.8,2.4
Robin Gosens,de GER,DF,Union Berlin,de Bundesliga,30.0,1,1,90,0,0,0,1,0,0.0,0.1
Mario Götze,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,32.0,24,18,1542,3,2,0,1,0,2.9,3.1
Amine Gouiri,dz ALG,"FW,MF",Marseille,fr Ligue 1,24.0,14,12,1048,10,3,0,0,0,8.4,3.6
Amine Gouiri,dz ALG,"MF,FW",Rennes,fr Ligue 1,24.0,19,11,1037,3,2,0,2,0,3.5,0.4
Lucas Gourna-Douath,fr FRA,MF,Roma,it Serie A,20.0,6,2,229,0,0,0,2,0,0.1,0.1
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,33.0,33,33,2944,1,4,0,9,0,1.7,2.2
Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,25.0,29,29,2585,0,0,0,2,0,0.0,0.0
Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,31.0,25,24,2112,0,0,0,4,0,0.8,0.7
José Gragera,es ESP,MF,Espanyol,es La Liga,23.0,10,7,569,0,0,0,0,0,0.0,0.0
